#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
    4152  354.977735  41.699066   52911.167318   52911.239464 186.882299  78.511386 323.828648  -1.056641
    4153  344.737441  -1.055590   52911.252172   52911.323491  95.000000   0.000000 344.737441  -1.055590
    4157   20.203208  -1.053792   52912.316053   52912.426346  95.000000   0.000000  20.203208  -1.053792
    4158   80.370025  -1.266677   52912.447611   52912.479537  95.000000   0.000000  80.370025  -1.266677
    4184  306.231035  -1.057963   52929.083472   52929.200399  95.000000   0.000000 306.231035  -1.057963
    4187  309.245152  -1.267150   52930.078870   52930.121579  95.000000   0.000000 309.245152  -1.267150
    4188  345.132413  -1.056881   52930.130639   52930.190347  95.000000   0.000000 345.132413  -1.056881
    4192  308.305949  -1.267527   52931.077100   52931.281101  95.000000   0.000000 308.305949  -1.267527
    4198  307.406254  -1.058193   52934.066883   52934.378276  95.000000   0.000000 307.406254  -1.058193
    4203  304.258363  -1.267890   52935.062851   52935.383781  95.000000   0.000000 304.258363  -1.267890
    4204  111.632398  35.264929   52935.394542   52935.496957  95.000000  70.000000 133.507955  -1.268763
    4207  305.967959  -1.057362   52936.058826   52936.374779  95.000000   0.000000 305.967959  -1.057362
    4208  111.345668  35.263433   52936.386308   52936.496187  95.000000  70.000000 133.405135  -1.058420
    4233  110.440670  36.958952   52946.366885   52946.428666  95.000000  72.500000 134.608951  -1.266349
    4247  345.313557  -1.267492   52959.119895   52959.206139  95.000000   0.000000 345.313557  -1.267492
    4253  345.389473  -1.057281   52962.093539   52962.164857  95.000000   0.000000 345.389473  -1.057281
    4263  344.276101  -1.268302   52963.096766   52963.286255  95.000000   0.000000 344.276101  -1.268302
    4264  110.723565  38.012357   52963.295575   52963.402137  95.000000  72.500000 135.665671  -1.056938
    4288   20.238646  -1.265230   52971.187293   52971.256951  95.000000   0.000000  20.238646  -1.265230
    4294  112.929418  41.301186   52973.321949   52973.421876  95.000000  72.500000 139.361585  -1.265996
    4335  114.841573  14.303144   52994.257796   52994.351088  95.000000  40.000000 119.258517  -1.269744
    4338  144.503916  10.442343   52994.405328   52994.442646  95.000000  15.000000 145.301339  -1.059408
    4344  140.474150   9.740127   52998.400994   52998.516677  95.000000  15.000000 141.271614  -1.056943
    4380  119.326839   5.211877   53032.302914   53032.353500  95.000000  15.000000 119.824599  -1.056232
    4381  172.003321  13.575691   53032.363768   53032.468256  95.000000  15.000000 172.370350  -1.054957
    4382  188.658398  38.884596   53032.477588   53032.525271  95.000000  40.000000 187.847462  -1.056973
    4392  147.348418  29.917698   53035.402209   53035.520795  95.000000  37.500000 153.022525  -1.264277
    4469  114.862090  14.587077   53052.255887   53052.448693  95.000000  40.000000 119.446079  -1.055622
    4470  185.004715  36.235073   53052.460811   53052.527567  95.000000  37.500000 185.003804  -1.264927
    4504  155.936780  32.748573   53080.357828   53080.461486  95.000000  37.500000 160.881157  -1.052246
    4508  116.284919  14.028592   53081.234817   53081.328110  95.000000  37.500000 120.282023  -1.265165
    4512  197.956584  35.722592   53081.381690   53081.491155  95.000000  37.500000 195.489698  -1.056239
    4517  115.078741  13.471455   53082.193302   53082.245131  95.000000  37.500000 119.001458  -1.055681
    4518  129.556728  22.301629   53082.255744   53082.338257  95.000000  37.500000 135.351150  -1.054881
    4520  237.322376  23.919435   53082.350984   53082.410693  95.000000  37.500000 231.353511  -1.057938
    4540  232.514938  24.144229   53104.340076   53104.365783  95.000000  35.000000 227.303253  -1.056646
    4549  116.256033  12.869671   53108.145276   53108.179276  95.000000  35.000000 119.667572  -1.161204
    4550  156.896259  30.604910   53108.188225   53108.224300  95.000000  35.000000 161.076433  -1.055862
    4552  168.894655  32.859554   53108.238259   53108.355186  95.000000  35.000000 171.522701  -1.056585
    4555  115.222765  12.352279   53109.136390   53109.178683  95.000000  35.000000 118.538845  -1.056854
    4569  115.088218  12.268664   53110.134021   53110.261729  95.000000  35.000000 118.383026  -1.056514
    4570  207.810111  31.756338   53110.270434   53110.399801  95.000000  35.000000 204.250360  -1.056650
    4571  242.354450  19.482966   53110.407668   53110.454935  95.000000  35.000000 237.555793  -1.059154
    4576  116.157768  12.684706   53111.124752   53111.459365  95.000000  35.000000 119.487630  -1.266232
    4588  206.189402  29.632567   53117.328074   53117.457855  95.000000  32.500000 203.314501  -1.057154
    4599  169.220777  30.443354   53120.294215   53120.392898  95.000000  32.500000 171.439021  -1.056123
    4600  240.656512  20.115254   53120.403006   53120.448616  95.000000  35.000000 235.850084  -1.268213
    4623  157.547346  28.175096   53137.194466   53137.366955  95.000000  32.500000 161.015577  -1.265033
    4628  216.848776  27.099651   53138.271635   53138.317245  95.000000  32.500000 213.025400  -1.266423
